Id,AssessmentIndDefinitionId,AssessmentIndDefinition.Name,AssessmentIndDefinition.Category__c,AssessmentIndDefinition.PHOCSParentId__r.Name,RegulatoryCodeId,RegulatoryCode.Name,CreatedBy.Name,$$AssessmentIndDefinition.Name$AssessmentIndDefinition.Category__c$AssessmentIndDefinition.PHOCSParentId__r.Name$RegulatoryCode.Name,AssessmentIndDefinition.$$Name$Category__c,RegulatoryCode.$$Name$RegulatoryAuthority.Name
0fMbZ0000000IivUAE,0eubZ0000000V3BQAU,Spray ball not meeting requirements.,Pasteurization - Vat/holder,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"Spray ball not meeting requirements.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;88",Spray ball not meeting requirements.;Pasteurization - Vat/holder,88;Milk Industry Standards Regulation
0fMbZ0000000IiwUAE,0eubZ0000000V3CQAU,Procedures not meeting requirements.,Pasteurization - Vat/holder,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"Procedures not meeting requirements.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;88",Procedures not meeting requirements.;Pasteurization - Vat/holder,88;Milk Industry Standards Regulation
0fMbZ0000000IixUAE,0eubZ0000000V3DQAU,Safety control test records not meeting requirements.,Pasteurization - Vat/holder,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"Safety control test records not meeting requirements.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;88",Safety control test records not meeting requirements.;Pasteurization - Vat/holder,88;Milk Industry Standards Regulation
0fMbZ0000000IiyUAE,0eubZ0000000V3EQAU,Not calibrated or serviced.,Pasteurization - Vat/holder,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"Not calibrated or serviced.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;88",Not calibrated or serviced.;Pasteurization - Vat/holder,88;Milk Industry Standards Regulation
0fMbZ0000000IizUAE,0eubZ0000000V3FQAU,Calibration report missing or incomplete.,Pasteurization - Vat/holder,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"Calibration report missing or incomplete.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;88",Calibration report missing or incomplete.;Pasteurization - Vat/holder,88;Milk Industry Standards Regulation
0fMbZ0000000Ij0UAE,0eubZ0000000V3GQAU,May contribute to contamination.,Pasteurization - Vat/holder,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"May contribute to contamination.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;88",May contribute to contamination.;Pasteurization - Vat/holder,88;Milk Industry Standards Regulation
0fMbZ0000000Ij1UAE,0eubZ0000000V3HQAU,Temperature too low.,Pasteurization - HTST,All products are pasteurized.,0fCbZ0000000G2XUAU,108(b),Chandrahas Bireddy,Temperature too low.;Pasteurization - HTST;All products are pasteurized.;108(b),Temperature too low.;Pasteurization - HTST,108(b);Milk Industry Standards Regulation
0fMbZ0000000Ij2UAE,0eubZ0000000V3HQAU,Temperature too low.,Pasteurization - HTST,All products are pasteurized.,0fCbZ0000000G2ZUAU,109(b),Chandrahas Bireddy,Temperature too low.;Pasteurization - HTST;All products are pasteurized.;109(b),Temperature too low.;Pasteurization - HTST,109(b);Milk Industry Standards Regulation
0fMbZ0000000Ij3UAE,0eubZ0000000V3HQAU,Temperature too low.,Pasteurization - HTST,All products are pasteurized.,0fCbZ0000000G2bUAE,110(b),Chandrahas Bireddy,Temperature too low.;Pasteurization - HTST;All products are pasteurized.;110(b),Temperature too low.;Pasteurization - HTST,110(b);Milk Industry Standards Regulation
0fMbZ0000000Ij4UAE,0eubZ0000000V3IQAU,Processing time too short.,Pasteurization - HTST,All products are pasteurized.,0fCbZ0000000G2XUAU,108(b),Chandrahas Bireddy,Processing time too short.;Pasteurization - HTST;All products are pasteurized.;108(b),Processing time too short.;Pasteurization - HTST,108(b);Milk Industry Standards Regulation
0fMbZ0000000Ij5UAE,0eubZ0000000V3IQAU,Processing time too short.,Pasteurization - HTST,All products are pasteurized.,0fCbZ0000000G2ZUAU,109(b),Chandrahas Bireddy,Processing time too short.;Pasteurization - HTST;All products are pasteurized.;109(b),Processing time too short.;Pasteurization - HTST,109(b);Milk Industry Standards Regulation
0fMbZ0000000Ij6UAE,0eubZ0000000V3IQAU,Processing time too short.,Pasteurization - HTST,All products are pasteurized.,0fCbZ0000000G2bUAE,110(b),Chandrahas Bireddy,Processing time too short.;Pasteurization - HTST;All products are pasteurized.;110(b),Processing time too short.;Pasteurization - HTST,110(b);Milk Industry Standards Regulation
0fMbZ0000000Ij7UAE,0eubZ0000000V3JQAU,Flow diversion not meeting requirements.,Pasteurization - HTST,All products are pasteurized.,0fCbZ0000000G2MUAU,103(1)(c),Chandrahas Bireddy,Flow diversion not meeting requirements.;Pasteurization - HTST;All products are pasteurized.;103(1)(c),Flow diversion not meeting requirements.;Pasteurization - HTST,103(1)(c);Milk Industry Standards Regulation
0fMbZ0000000Ij8UAE,0eubZ0000000V3KQAU,Pressure differential not meeting requirements.,Pasteurization - HTST,All products are pasteurized.,0fCbZ0000000G29UAE,103,Chandrahas Bireddy,Pressure differential not meeting requirements.;Pasteurization - HTST;All products are pasteurized.;103,Pressure differential not meeting requirements.;Pasteurization - HTST,103;Milk Industry Standards Regulation
0fMbZ0000000Ij9UAE,0eubZ0000000V3LQAU,Cooling rate too slow.,Pasteurization - HTST,All products are pasteurized.,0fCbZ0000000G2XUAU,108(b),Chandrahas Bireddy,Cooling rate too slow.;Pasteurization - HTST;All products are pasteurized.;108(b),Cooling rate too slow.;Pasteurization - HTST,108(b);Milk Industry Standards Regulation
0fMbZ0000000IjAUAU,0eubZ0000000V3LQAU,Cooling rate too slow.,Pasteurization - HTST,All products are pasteurized.,0fCbZ0000000G2ZUAU,109(b),Chandrahas Bireddy,Cooling rate too slow.;Pasteurization - HTST;All products are pasteurized.;109(b),Cooling rate too slow.;Pasteurization - HTST,109(b);Milk Industry Standards Regulation
0fMbZ0000000IjBUAU,0eubZ0000000V3LQAU,Cooling rate too slow.,Pasteurization - HTST,All products are pasteurized.,0fCbZ0000000G2bUAE,110(b),Chandrahas Bireddy,Cooling rate too slow.;Pasteurization - HTST;All products are pasteurized.;110(b),Cooling rate too slow.;Pasteurization - HTST,110(b);Milk Industry Standards Regulation
0fMbZ0000000IjCUAU,0eubZ0000000V3MQAU,"Records unclear, incomplete, or not available upon request.",Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,0fCbZ0000000G29UAE,103,Chandrahas Bireddy,"Records unclear, incomplete, or not available upon request.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.;103","Records unclear, incomplete, or not available upon request.;Pasteurization - HTST",103;Milk Industry Standards Regulation
0fMbZ0000000IjDUAU,0eubZ0000000V3NQAU,Clean-in-place cycles not recorded.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,Clean-in-place cycles not recorded.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.;88,Clean-in-place cycles not recorded.;Pasteurization - HTST,88;Milk Industry Standards Regulation
0fMbZ0000000IjEUAU,0eubZ0000000V3OQAU,Daily recording thermometer check against indicating thermometer not recorded.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,0fCbZ0000000G27UAE,100,Chandrahas Bireddy,Daily recording thermometer check against indicating thermometer not recorded.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.;100,Daily recording thermometer check against indicating thermometer not recorded.;Pasteurization - HTST,100;Milk Industry Standards Regulation
0fMbZ0000000IjFUAU,0eubZ0000000V3PQAU,Daily cut in/cut out records not recorded.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,Daily cut in/cut out records not recorded.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.;88,Daily cut in/cut out records not recorded.;Pasteurization - HTST,88;Milk Industry Standards Regulation
0fMbZ0000000IjGUAU,0eubZ0000000V3QQAU,Flow cut in (meter based timing system) issue.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,Flow cut in (meter based timing system) issue.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.;88,Flow cut in (meter based timing system) issue.;Pasteurization - HTST,88;Milk Industry Standards Regulation
0fMbZ0000000IjHUAU,0eubZ0000000V3RQAU,Flow cut out (meter based timing system) issue.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,Flow cut out (meter based timing system) issue.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.;88,Flow cut out (meter based timing system) issue.;Pasteurization - HTST,88;Milk Industry Standards Regulation
0fMbZ0000000IjIUAU,0eubZ0000000V3SQAU,High flow alarm details not recorded as required.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,High flow alarm details not recorded as required.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.;88,High flow alarm details not recorded as required.;Pasteurization - HTST,88;Milk Industry Standards Regulation
0fMbZ0000000IjJUAU,0eubZ0000000V3TQAU,Holding time records - calculated method.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,Holding time records - calculated method.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.;88,Holding time records - calculated method.;Pasteurization - HTST,88;Milk Industry Standards Regulation
0fMbZ0000000IjKUAU,0eubZ0000000V3UQAU,Holding time records - salt conductivity test.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,Holding time records - salt conductivity test.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.;88,Holding time records - salt conductivity test.;Pasteurization - HTST,88;Milk Industry Standards Regulation
0fMbZ0000000IjLUAU,0eubZ0000000V3VQAU,Inadequate test records of safety controls.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,0fCbZ0000000G2VUAU,106(1)(2),Chandrahas Bireddy,Inadequate test records of safety controls.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.;106(1)(2),Inadequate test records of safety controls.;Pasteurization - HTST,106(1)(2);Milk Industry Standards Regulation
0fMbZ0000000IjMUAU,0eubZ0000000V3WQAU,Indicating thermometer inaccurate.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,0fCbZ0000000G2KUAU,103(1),Chandrahas Bireddy,Indicating thermometer inaccurate.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.;103(1),Indicating thermometer inaccurate.;Pasteurization - HTST,103(1);Milk Industry Standards Regulation
0fMbZ0000000IjNUAU,0eubZ0000000V3XQAU,Loss of  signal alarm.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,Loss of  signal alarm.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.;88,Loss of  signal alarm.;Pasteurization - HTST,88;Milk Industry Standards Regulation
0fMbZ0000000IjOUAU,0eubZ0000000V3YQAU,Manual diversion not recorded.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,Manual diversion not recorded.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.;88,Manual diversion not recorded.;Pasteurization - HTST,88;Milk Industry Standards Regulation
0fMbZ0000000IjPUAU,0eubZ0000000V3ZQAU,Milk pump not adequately sealed.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,0fCbZ0000000G2UUAU,105(1),Chandrahas Bireddy,Milk pump not adequately sealed.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.;105(1),Milk pump not adequately sealed.;Pasteurization - HTST,105(1);Milk Industry Standards Regulation
0fMbZ0000000IjQUAU,0eubZ0000000V3aQAE,Recorder controller not adequately sealed.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,0fCbZ0000000G2UUAU,105(1),Chandrahas Bireddy,Recorder controller not adequately sealed.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.;105(1),Recorder controller not adequately sealed.;Pasteurization - HTST,105(1);Milk Industry Standards Regulation
0fMbZ0000000IjRUAU,0eubZ0000000V3bQAE,Recording thermometers inaccurate.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,0fCbZ0000000G2VUAU,106(1)(2),Chandrahas Bireddy,Recording thermometers inaccurate.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.;106(1)(2),Recording thermometers inaccurate.;Pasteurization - HTST,106(1)(2);Milk Industry Standards Regulation
0fMbZ0000000IjSUAU,0eubZ0000000V3cQAE,Response time not recorded.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,Response time not recorded.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.;88,Response time not recorded.;Pasteurization - HTST,88;Milk Industry Standards Regulation
0fMbZ0000000IjTUAU,0eubZ0000000V3dQAE,Time delay interlock or relay not recorded.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,Time delay interlock or relay not recorded.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.;88,Time delay interlock or relay not recorded.;Pasteurization - HTST,88;Milk Industry Standards Regulation
0fMbZ0000000IjUUAU,0eubZ0000000V3eQAE,Auxiliary pumps not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"Auxiliary pumps not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;88",Auxiliary pumps not meeting requirements.;Pasteurization - HTST,88;Milk Industry Standards Regulation
0fMbZ0000000IjVUAU,0eubZ0000000V3fQAE,Booster pump not suitably wired.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G2TUAU,104(a),Chandrahas Bireddy,"Booster pump not suitably wired.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;104(a)",Booster pump not suitably wired.;Pasteurization - HTST,104(a);Milk Industry Standards Regulation
0fMbZ0000000IjWUAU,0eubZ0000000V3gQAE,Calibration report missing or incomplete.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G39UAE,88(c),Chandrahas Bireddy,"Calibration report missing or incomplete.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;88(c)",Calibration report missing or incomplete.;Pasteurization - HTST,88(c);Milk Industry Standards Regulation
0fMbZ0000000IjXUAU,0eubZ0000000V3hQAE,Clean-in-place pump not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"Clean-in-place pump not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;88",Clean-in-place pump not meeting requirements.;Pasteurization - HTST,88;Milk Industry Standards Regulation
0fMbZ0000000IjYUAU,0eubZ0000000V3iQAE,Cooling section not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"Cooling section not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;88",Cooling section not meeting requirements.;Pasteurization - HTST,88;Milk Industry Standards Regulation
0fMbZ0000000IjZUAU,0eubZ0000000V3jQAE,Constant level tank not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"Constant level tank not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;88",Constant level tank not meeting requirements.;Pasteurization - HTST,88;Milk Industry Standards Regulation
0fMbZ0000000IjaUAE,0eubZ0000000V3kQAE,Flow diversion valve or device not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G2MUAU,103(1)(c),Chandrahas Bireddy,"Flow diversion valve or device not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;103(1)(c)",Flow diversion valve or device not meeting requirements.;Pasteurization - HTST,103(1)(c);Milk Industry Standards Regulation
0fMbZ0000000IjbUAE,0eubZ0000000V3lQAE,Glycol cooling section not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"Glycol cooling section not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;88",Glycol cooling section not meeting requirements.;Pasteurization - HTST,88;Milk Industry Standards Regulation
0fMbZ0000000IjcUAE,0eubZ0000000V3mQAE,Heating section not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"Heating section not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;88",Heating section not meeting requirements.;Pasteurization - HTST,88;Milk Industry Standards Regulation
0fMbZ0000000IjdUAE,0eubZ0000000V3nQAE,Holding section not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G2NUAU,103(1)(d),Chandrahas Bireddy,"Holding section not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;103(1)(d)",Holding section not meeting requirements.;Pasteurization - HTST,103(1)(d);Milk Industry Standards Regulation
0fMbZ0000000IjeUAE,0eubZ0000000V3oQAE,Holding tube not sloped as required.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G2NUAU,103(1)(d),Chandrahas Bireddy,"Holding tube not sloped as required.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;103(1)(d)",Holding tube not sloped as required.;Pasteurization - HTST,103(1)(d);Milk Industry Standards Regulation
0fMbZ0000000IjfUAE,0eubZ0000000V3pQAE,Homogenizer not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"Homogenizer not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;88",Homogenizer not meeting requirements.;Pasteurization - HTST,88;Milk Industry Standards Regulation
0fMbZ0000000IjgUAE,0eubZ0000000V3qQAE,Indicating thermometer not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G2LUAU,103(1)(a),Chandrahas Bireddy,"Indicating thermometer not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;103(1)(a)",Indicating thermometer not meeting requirements.;Pasteurization - HTST,103(1)(a);Milk Industry Standards Regulation
0fMbZ0000000IjhUAE,0eubZ0000000V3rQAE,Leak detect device not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"Leak detect device not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;88",Leak detect device not meeting requirements.;Pasteurization - HTST,88;Milk Industry Standards Regulation
0fMbZ0000000IjiUAE,0eubZ0000000V3sQAE,May contribute to contamination.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"May contribute to contamination.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;88",May contribute to contamination.;Pasteurization - HTST,88;Milk Industry Standards Regulation
0fMbZ0000000IjjUAE,0eubZ0000000V3tQAE,Meter based timing controller not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"Meter based timing controller not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;88",Meter based timing controller not meeting requirements.;Pasteurization - HTST,88;Milk Industry Standards Regulation
0fMbZ0000000IjkUAE,0eubZ0000000V3uQAE,Meter based timing meter not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"Meter based timing meter not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;88",Meter based timing meter not meeting requirements.;Pasteurization - HTST,88;Milk Industry Standards Regulation
0fMbZ0000000IjlUAE,0eubZ0000000V3vQAE,Milk pump not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G2OUAU,103(1)(e),Chandrahas Bireddy,"Milk pump not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;103(1)(e)",Milk pump not meeting requirements.;Pasteurization - HTST,103(1)(e);Milk Industry Standards Regulation
0fMbZ0000000IjmUAE,0eubZ0000000V3wQAE,Not calibrated or serviced.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G39UAE,88(c),Chandrahas Bireddy,"Not calibrated or serviced.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;88(c)",Not calibrated or serviced.;Pasteurization - HTST,88(c);Milk Industry Standards Regulation
0fMbZ0000000IjnUAE,0eubZ0000000V3xQAE,Pasteurized discharge present or not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"Pasteurized discharge present or not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;88",Pasteurized discharge present or not meeting requirements.;Pasteurization - HTST,88;Milk Industry Standards Regulation
0fMbZ0000000IjoUAE,0eubZ0000000V3yQAE,Pressure differential controller not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G2PUAU,103(1)(f),Chandrahas Bireddy,"Pressure differential controller not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;103(1)(f)",Pressure differential controller not meeting requirements.;Pasteurization - HTST,103(1)(f);Milk Industry Standards Regulation
0fMbZ0000000IjpUAE,0eubZ0000000V3yQAE,Pressure differential controller not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G2QUAU,103(2),Chandrahas Bireddy,"Pressure differential controller not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;103(2)",Pressure differential controller not meeting requirements.;Pasteurization - HTST,103(2);Milk Industry Standards Regulation
0fMbZ0000000IjqUAE,0eubZ0000000V3zQAE,Record controller not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G2SUAU,103(b),Chandrahas Bireddy,"Record controller not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;103(b)",Record controller not meeting requirements.;Pasteurization - HTST,103(b);Milk Industry Standards Regulation
0fMbZ0000000IjrUAE,0eubZ0000000V3zQAE,Record controller not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G2UUAU,105(1),Chandrahas Bireddy,"Record controller not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;105(1)",Record controller not meeting requirements.;Pasteurization - HTST,105(1);Milk Industry Standards Regulation
0fMbZ0000000IjsUAE,0eubZ0000000V40QAE,Recording thermometer not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G2RUAU,103(a),Chandrahas Bireddy,"Recording thermometer not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;103(a)",Recording thermometer not meeting requirements.;Pasteurization - HTST,103(a);Milk Industry Standards Regulation
0fMbZ0000000IjtUAE,0eubZ0000000V41QAE,Regeneration bypass not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G2QUAU,103(2),Chandrahas Bireddy,"Regeneration bypass not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;103(2)",Regeneration bypass not meeting requirements.;Pasteurization - HTST,103(2);Milk Industry Standards Regulation
0fMbZ0000000IjuUAE,0eubZ0000000V42QAE,Regeneration section pressure insufficient.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G2QUAU,103(2),Chandrahas Bireddy,"Regeneration section pressure insufficient.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;103(2)",Regeneration section pressure insufficient.;Pasteurization - HTST,103(2);Milk Industry Standards Regulation
0fMbZ0000000IjvUAE,0eubZ0000000V43QAE,Safety control test records not available.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"Safety control test records not available.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;88",Safety control test records not available.;Pasteurization - HTST,88;Milk Industry Standards Regulation
0fMbZ0000000IjwUAE,0eubZ0000000V44QAE,Sensing chamber not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"Sensing chamber not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;88",Sensing chamber not meeting requirements.;Pasteurization - HTST,88;Milk Industry Standards Regulation
